detcore/src/syscalls/threads.rs:299:32: error[E0308]: mismatched types: expected `DetPid`, found `DetTid`
detcore/src/syscalls/threads.rs:411:26: error[E0308]: mismatched types: expected `DetPid`, found `DetTid`
detcore/src/syscalls/threads.rs:430:26: error[E0308]: mismatched types: expected `DetPid`, found `DetTid`
detcore/src/tool_global.rs:1319:41: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/tool_global.rs:1458:82: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/tool_global.rs:2033:64: error[E0308]: mismatched types: expected `DetPid`, found `DetTid`
detcore/src/tool_global.rs:2043:79: error[E0308]: mismatched types: expected `DetPid`, found `DetTid`
detcore/src/tool_global.rs:2147:84: error[E0308]: mismatched types: expected `DetPid`, found `DetTid`
detcore/src/tool_global.rs:2265:56: error[E0308]: mismatched types: expected `DetPid`, found `DetTid`
detcore/src/tool_global.rs:2548:79: error[E0308]: mismatched types: expected `DetPid`, found `DetTid`
detcore/src/tool_global.rs:2605:38: error[E0308]: mismatched types: expected `DetPid`, found `DetTid`
detcore/src/tool_global.rs:2623:74: error[E0308]: mismatched types: expected `DetPid`, found `DetTid`
detcore/src/tool_global.rs:2648:13: error[E0308]: mismatched types: expected `DetPid`, found `DetTid`
detcore/src/scheduler.rs:758:56: error[E0308]: mismatched types: expected `DetPid`, found `DetTid`
detcore/src/scheduler.rs:765:44: error[E0308]: mismatched types: expected `DetPid`, found `DetTid`
detcore/src/scheduler.rs:796:13: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/scheduler.rs:1532:30: error[E0308]: mismatched types: expected `&DetTid`, found `&DetPid`
detcore/src/scheduler.rs:1560:54: error[E0308]: mismatched types: expected `&DetTid`, found `&DetPid`
detcore/src/scheduler.rs:2038:55: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/scheduler.rs:2039:61: error[E0308]: mismatched types: expected `&DetTid`, found `&DetPid`
detcore/src/scheduler.rs:2040:61: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/scheduler.rs:2072:60: error[E0308]: mismatched types: expected `&DetTid`, found `&DetPid`
detcore/src/scheduler.rs:2082:58: error[E0308]: mismatched types: expected `&DetTid`, found `&DetPid`
detcore/src/scheduler.rs:2104:34: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/scheduler.rs:2106:70: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/scheduler.rs:2114:60: error[E0308]: mismatched types: expected `&DetTid`, found `&DetPid`
detcore/src/scheduler.rs:2117:60: error[E0308]: mismatched types: expected `&DetTid`, found `&DetPid`
detcore/src/scheduler.rs:2718:72: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/tool_global.rs:430:59: error[E0308]: mismatched types: expected `&DetTid`, found `&DetPid`
detcore/src/tool_global.rs:620:52: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/tool_global.rs:627:59: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/tool_global.rs:789:64: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/tool_local.rs:1509:27: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/tool_local.rs:1513:36: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/tool_local.rs:1592:50: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/tool_local.rs:1595:55: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/tool_local.rs:1600:31: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/tool_local.rs:1600:60: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/tool_local.rs:1603:21: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/tool_local.rs:1606:34: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/tool_local.rs:1642:53: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/lib.rs:1173:21: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/lib.rs:1178:25: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/lib.rs:1203:78: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/lib.rs:1250:76: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/lib.rs:1251:88: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/lib.rs:1277:66: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/lib.rs:1294:36: error[E0308]: mismatched types: expected `DetTid`, found `DetPid`
detcore/src/lib.rs:2327:63: error[E0308]: mismatched types: expected `DetPid`, found `DetTid`
detcore/src/lib.rs:2339:17: error[E0308]: mismatched types: expected `DetPid`, found `DetTid`
