run	exit_code	stdout_sha256	stderr_sha256	fingerprint_sha256
run-0001	0	56fbdedcdb8a631bb3929a4a17411db489158f32e07d3fb5164f1a798c5a4b00	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	82b235f99f297d6aa1197897dd6932be5b7a59f56c34cd9c5ab46106da27fede
run-0002	0	56fbdedcdb8a631bb3929a4a17411db489158f32e07d3fb5164f1a798c5a4b00	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	82b235f99f297d6aa1197897dd6932be5b7a59f56c34cd9c5ab46106da27fede
