run	exit_code	stdout_sha256	stderr_sha256	state_sha256	fingerprint_sha256
run-0001	0	8a81d46b4a4a9f3e161bf4daa96215dff68a68ea23fde368642684299acac85a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	99692f4cb51fdd7384dce3b8a41bfec6a29532361381085e77c44d415875a433	645471f4ad73fb743fb5f1b8b55e0eb8fb0f383a3d24313201cfedbc713391e4
run-0002	0	8a81d46b4a4a9f3e161bf4daa96215dff68a68ea23fde368642684299acac85a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	99692f4cb51fdd7384dce3b8a41bfec6a29532361381085e77c44d415875a433	645471f4ad73fb743fb5f1b8b55e0eb8fb0f383a3d24313201cfedbc713391e4
