timestamp,machine_id,git_sha,nproc,wall_s,user_s,sys_s,result,n_steps,pct_we,pct_other,total_busy_pct,ipc,cache_miss_pct,jobs
2026-08-04T23:12:36,AMD_EPYC_9D85_158-Core_Processor,145e728232c6e05476b00b506ae1324b266cbb58,316,662.7,4816.2,1063.7,pass,46,2.81,21.2,24.01,,,16
2026-08-04T23:13:13,AMD_EPYC_9D85_158-Core_Processor,145e728232c6e05476b00b506ae1324b266cbb58,316,27.3,16.0,12.9,pass,7,0.33,19.69,20.03,,,16
