timestamp,machine_id,container_class,git_sha,outer_jobs,profile_base_sha,enforcement_kind,runner_name,step,classification,inner_jobs,elapsed_s,returncode,ok,timed_out,cpu_timed_out,oom_kills,peak_bytes,thread_peak,effective_cores,user_s,sys_s,throttled_s,quota_utilization_pct,external_cpu_s,external_cores,co_tenants_start,co_tenants_end,ambient_bucket,load1_start,load1_end,load5_start,load5_end,host_cpu_psi_avg10_start,host_cpu_psi_avg10_end,host_cpu_psi_avg60_start,host_cpu_psi_avg60_end,host_memory_psi_avg10_start,host_memory_psi_avg10_end,host_memory_psi_avg60_start,host_memory_psi_avg60_end,host_io_psi_avg10_start,host_io_psi_avg10_end,host_io_psi_avg60_start,host_io_psi_avg60_end,step_cpu_psi_avg10_start,step_cpu_psi_avg10_end,step_cpu_psi_avg60_start,step_cpu_psi_avg60_end,cpu.burst_usec,cpu.nice_usec,cpu.nr_bursts,cpu.nr_periods,cpu.nr_throttled,cpu.system_usec,cpu.throttled_usec,cpu.usage_usec,cpu.user_usec
2026-08-04T23:12:36,AMD_EPYC_9D85_158-Core_Processor,affinity316_cpu-max-unknown,145e728232c6e05476b00b506ae1324b266cbb58,16,145e728232c6e05476b00b506ae1324b266cbb58,unverified,local,setup.nextest,light,316,0.077,0,True,False,False,0,28209152,,0.7929,0.025,0.036,0.0,,6.229,80.525,0,0,busy,88.83,88.83,89.4,89.4,3.8,3.8,3.78,3.78,3.64,3.64,3.38,3.38,5.15,5.15,5.51,5.51,0.0,0.0,0.0,0.0,0,0,0,0,0,36382,0,61330,24948
2026-08-04T23:12:36,AMD_EPYC_9D85_158-Core_Processor,affinity316_cpu-max-unknown,145e728232c6e05476b00b506ae1324b266cbb58,16,145e728232c6e05476b00b506ae1324b266cbb58,unverified,local,check.script_sigpipe,light,316,0.351,0,True,False,False,0,47902720,,0.7086,0.07,0.179,0.0,,29.721,84.74,0,0,busy,88.83,88.83,89.4,89.4,3.8,3.65,3.78,3.75,3.64,5.51,3.38,3.73,5.15,4.94,5.51,5.46,0.0,0.0,0.0,0.0,0,0,0,0,0,178570,0,248536,69966
2026-08-04T23:12:36,AMD_EPYC_9D85_158-Core_Processor,affinity316_cpu-max-unknown,145e728232c6e05476b00b506ae1324b266cbb58,16,145e728232c6e05476b00b506ae1324b266cbb58,unverified,local,check.skill_discovery,light,316,0.379,0,True,False,False,0,65495040,,1.4231,0.323,0.217,0.0,,32.2,84.903,0,0,busy,88.83,88.83,89.4,89.4,3.8,3.65,3.78,3.75,3.64,5.51,3.38,3.73,5.15,4.94,5.51,5.46,0.0,0.0,0.0,0.0,0,0,0,0,0,216714,0,539742,323027
2026-08-04T23:12:36,AMD_EPYC_9D85_158-Core_Processor,affinity316_cpu-max-unknown,145e728232c6e05476b00b506ae1324b266cbb58,16,145e728232c6e05476b00b506ae1324b266cbb58,unverified,local,lint.rustfmt,light,316,0.98,0,True,False,False,0,38731776,,0.9719,0.853,0.099,0.0,,76.488,78.063,0,0,busy,88.83,88.83,89.4,89.4,3.8,3.65,3.78,3.75,3.64,5.51,3.38,3.73,5.15,4.94,5.51,5.46,0.0,0.0,0.0,0.0,0,0,0,0,0,99243,0,952332,853089
2026-08-04T23:12:36,AMD_EPYC_9D85_158-Core_Processor,affinity316_cpu-max-unknown,145e728232c6e05476b00b506ae1324b266cbb58,16,145e728232c6e05476b00b506ae1324b266cbb58,unverified,local,check.portability_paths,light,316,2.338,0,True,False,False,0,37556224,2,1.0805,0.842,1.685,0.0,,168.114,71.903,0,0,busy,88.83,89.56,89.4,89.54,3.8,3.71,3.78,3.76,3.64,5.42,3.38,3.77,5.15,5.32,5.51,5.51,0.0,0.0,0.0,0.0,0,0,0,0,0,1684583,0,2526374,841790
2026-08-04T23:12:36,AMD_EPYC_9D85_158-Core_Processor,affinity316_cpu-max-unknown,145e728232c6e05476b00b506ae1324b266cbb58,16,145e728232c6e05476b00b506ae1324b266cbb58,unverified,local,check.backend_abstraction,light,316,4.385,0,True,False,False,0,134316032,24,0.9321,1.044,3.043,0.0,,340.433,77.634,0,0,busy,88.83,89.56,89.4,89.54,3.8,3.58,3.78,3.74,3.64,5.7,3.38,3.87,5.15,5.62,5.51,5.56,0.0,0.0,0.0,0.0,0,0,0,0,0,3043413,0,4087270,1043856
2026-08-04T23:12:36,AMD_EPYC_9D85_158-Core_Processor,affinity316_cpu-max-unknown,145e728232c6e05476b00b506ae1324b266cbb58,16,145e728232c6e05476b00b506ae1324b266cbb58,unverified,local,e2e.metadata,light,316,10.702,0,True,False,False,0,107728896,9,1.1494,5.133,7.168,0.0,,776.239,72.532,0,0,busy,88.83,89.84,89.4,89.6,3.8,3.62,3.78,3.73,3.64,5.1,3.38,3.94,5.15,5.88,5.51,5.63,0.0,0.0,0.0,0.0,0,0,0,0,0,7168166,0,12300939,5132773
2026-08-04T23:12:36,AMD_EPYC_9D85_158-Core_Processor,affinity316_cpu-max-unknown,145e728232c6e05476b00b506ae1324b266cbb58,16,145e728232c6e05476b00b506ae1324b266cbb58,unverified,local,build.manifest_guests,cpu-bound,316,17.865,0,True,False,False,0,191569920,5,1.0145,8.173,9.951,0.0,,2316.886,129.69,0,0,busy,89.84,112.85,89.6,94.76,3.62,9.97,3.73,4.92,5.1,3.48,3.94,3.95,5.88,5.02,5.63,5.63,0.0,0.0,0.0,0.0,0,0,0,0,0,9951270,0,18123899,8172629
2026-08-04T23:12:36,AMD_EPYC_9D85_158-Core_Processor,affinity316_cpu-max-unknown,145e728232c6e05476b00b506ae1324b266cbb58,16,145e728232c6e05476b00b506ae1324b266cbb58,unverified,local,build.workspace,cpu-bound,32,76.748,0,True,False,False,0,11104583680,304,15.5859,927.737,268.455,123.962,48.71,7446.318,97.023,0,0,busy,89.84,123.29,89.6,102.69,3.62,5.13,3.73,8.39,5.1,1.02,3.94,3.06,5.88,4.92,5.63,5.35,0.0,0.5,0.0,0.96,0,0,0,768,189,268455381,123962147,1196192400,927737018
2026-08-04T23:12:36,AMD_EPYC_9D85_158-Core_Processor,affinity316_cpu-max-unknown,145e728232c6e05476b00b506ae1324b266cbb58,16,145e728232c6e05476b00b506ae1324b266cbb58,unverified,local,build.runtime_release,cpu-bound,32,132.857,0,True,False,False,0,14122393600,239,16.5388,1887.475,309.812,1258.247,51.68,10929.624,82.266,0,0,busy,89.84,105.29,89.6,101.35,3.62,3.37,3.73,5.25,5.1,0.86,3.94,2.06,5.88,4.8,5.63,5.04,0.0,0.0,0.0,3.39,0,0,0,1327,433,309811661,1258247481,2197286168,1887474507
